real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
gen=0_training=11,1.93156,8.30159,1.72233,8.71048,4.84129,-0.21821,-4.68979,7.28456,7.76521,8.19071,6.5882,8.06038,-1.85477,8.48191,8.79073,-3.0885,-0.710467,2.66405,-1.76066,-4.61973,-4.38061,4.65827,3.75184,-4.3479,-1.38733,0.305464,-4.67465,0.85242,0.788685,1.98033,0.526682,6.65226,-4.40451,-4.42443,-1.81222,-4.64378,2.78657,-1.04264,0.480082,-0.354862,0.935617,4.9992,2.78739,6.02533,6.49797,8.06077,0.990228,2.25926,-1.40203,9.6824
gen=0_training=12,2.96531,4.69694,-2.73067,-2.29872,0.410562,1.26447,6.70991,9.7361,8.20134,-0.744318,1.89064,4.31482,-1.49515,2.63652,8.51817,0.802827,-3.41029,9.02511,5.86001,6.70014,7.82363,6.48307,5.40647,8.38811,0.760911,2.48617,-0.230331,5.56928,-0.985672,8.18973,-3.30817,-0.32858,5.0554,-0.275,-2.97179,6.10053,6.27554,-0.616045,-0.0908594,-4.44287,-2.45386,1.3809,-2.53073,1.33317,7.07236,1.83148,7.10426,-2.44228,2.83046,-0.523683
gen=0_training=13,0.491814,-2.36686,-3.2735,7.89553,2.11838,1.70459,6.39777,0.105337,2.79428,3.77527,7.09177,-3.03976,0.491573,-0.299974,4.9705,-1.23548,8.13373,-0.779601,-1.13634,7.99623,0.166646,-4.14481,0.933837,-0.275382,1.94495,-3.22301,6.74224,-3.85483,1.12915,-2.87663,9.08668,4.65778,2.53385,7.89911,1.92863,-2.95469,1.03373,4.78928,5.23541,-4.21892,1.67895,-4.35915,3.5274,6.37988,-0.510812,3.09446,-2.29529,1.55701,-0.0770841,5.41509
gen=0_training=14,1.45903,-0.071808,-4.01337,7.04808,-4.79005,0.106785,4.20313,3.51036,1.43095,6.96299,-0.795092,3.30347,8.35501,4.42086,6.92512,4.96713,3.70048,-2.06483,9.4892,9.98129,-2.78846,7.04588,7.42853,7.35057,8.09962,-2.56966,4.48645,1.55061,-2.73828,8.27757,-0.0286292,-2.48081,1.77464,6.88671,3.84936,-4.75784,-1.82122,0.514374,0.760497,-3.80041,8.70329,2.52207,6.84347,7.81821,6.82391,-1.1117,-4.77913,0.175953,8.03417,-2.89094
gen=0_training=15,2.40456,1.13596,6.41732,-2.82459,-4.62037,-3.31985,0.412494,2.79835,2.91404,5.91855,9.58994,-3.9054,2.83462,5.48661,3.89957,9.72988,-2.14536,7.60879,2.92883,0.48929,2.70488,-4.05776,7.22633,-2.59988,3.40393,9.28463,6.97741,-2.07325,-0.0621928,1.35761,-0.577876,4.49609,6.82792,-0.640906,-0.442533,7.28707,0.232974,7.83133,-0.236659,-0.690394,5.48897,-3.1997,-3.24823,2.82664,4.72341,1.34577,-2.51843,-4.46764,-4.07618,7.31752
gen=0_training=16,1.8506,0.770425,-1.56769,3.74747,7.8843,9.39619,5.93939,2.49227,9.7877,1.15436,-1.53616,1.39308,5.82642,0.767098,-0.762092,-0.232424,-0.513099,1.73575,7.62041,8.85365,5.97959,7.44839,-3.68556,9.95652,7.64395,7.01513,1.78427,-0.831373,6.69904,3.20783,2.23906,-1.84614,1.61868,4.77921,6.8843,5.07705,6.82154,5.13028,0.67209,3.07297,-4.12869,-1.84959,9.8976,0.435337,-0.106036,7.89241,3.58866,4.01085,-4.74134,4.72889
gen=0_training=17,8.81977,1.17058,-4.93102,1.42402,3.96203,2.13633,-0.137204,-3.36485,-4.54795,-1.3001,-1.03452,-2.18392,4.04984,0.0842305,1.99038,7.76032,4.55851,7.57426,-3.57842,8.71155,-2.48776,-2.62185,-2.47494,0.816144,-2.50313,7.76473,2.77224,9.06925,9.73174,-1.4902,-1.13933,1.61703,-4.33431,5.80106,9.63385,3.54014,-1.29252,-1.73159,-3.28263,2.8457,7.57738,9.26766,-3.45453,-1.65484,-0.473448,0.303843,-4.16875,-4.96502,3.48584,5.34617
gen=0_training=18,-0.460317,3.74705,-2.94779,8.54639,-1.37836,6.63769,3.2451,0.0436746,3.9486,2.59338,1.93849,6.36369,-4.00022,9.00057,1.8618,-0.966536,-4.68012,4.18514,-3.05466,-3.83693,9.37082,7.66145,2.7464,0.368823,-0.410396,0.565825,5.90238,2.39629,9.3162,4.98206,6.9126,-3.88874,8.33853,3.9023,4.17707,5.88046,7.54598,9.05816,7.37719,-2.84726,-1.57827,4.0326,2.44786,7.64891,1.15744,5.91591,-3.54979,4.74195,7.5825,-2.22814
gen=0_training=19,8.75011,0.657205,9.75408,6.57813,5.56234,3.60797,-4.9806,-4.14728,-1.37659,-2.37551,-4.8486,-2.83553,-2.47241,9.48572,-3.79767,6.45847,0.26541,0.381365,2.07919,0.978612,2.64643,6.59977,-3.36825,6.93713,2.92871,5.20796,6.01337,0.821849,9.62617,8.67179,1.29373,1.46571,4.30882,-4.56197,8.96195,-2.09437,0.548721,8.24029,0.0448711,1.6134,3.40194,7.1062,-1.97221,8.06439,7.98063,-3.63139,7.86031,-1.638,1.28524,0.759682
gen=0_training=20,3.2742,7.75684,-0.254591,2.5569,3.78781,-4.87327,1.44125,9.05421,1.61204,7.7995,6.0721,8.87745,-2.82673,2.73016,-4.77718,-1.53451,-2.28513,-3.65154,4.39321,0.205327,4.69411,9.66882,8.31872,0.471116,4.81824,1.28487,0.543975,7.5166,9.92407,2.59347,7.85772,-4.06409,9.58976,-1.91339,-4.63537,-2.54448,1.66587,-1.92956,1.7368,-1.83552,-3.53641,-3.97563,4.34499,-4.31191,4.19012,6.2597,8.67272,0.0434558,-3.92856,-3.62146
gen=0_training=21,-3.59248,4.32305,4.01494,6.1712,6.54678,0.575829,7.36354,0.919387,-1.75366,-3.8987,-1.30069,0.565585,0.846208,-2.95457,4.0219,-1.94814,5.91599,3.91231,-1.57621,5.45054,0.941909,9.03601,6.48208,7.06587,8.585,-1.10267,9.14505,0.63383,-2.76836,-4.94334,-2.84665,-2.32328,9.03742,-2.93846,1.37638,8.56131,-4.34729,-1.58446,9.56332,0.735869,3.01606,3.58446,8.58276,2.75497,4.0248,-0.565026,3.09195,-1.37549,1.43249,-3.81187
gen=0_training=22,-3.81623,-3.725,4.99217,1.94925,0.758248,2.97467,0.844827,2.20862,4.14181,8.5894,-1.80954,-3.35428,-3.79592,-1.94505,5.16513,-3.47541,-0.312389,7.32491,5.62574,-4.09902,5.67797,8.81381,-4.12622,9.45181,1.10373,8.79785,-2.85196,-2.6756,7.25952,-0.178448,-0.103697,0.563288,7.5155,9.13719,-3.42876,4.74997,-3.07756,4.0521,-4.80006,-2.49647,1.18155,-3.8674,-3.173,9.89874,6.9124,5.67077,5.08807,6.55605,9.50009,3.11766
gen=0_training=23,2.71579,6.85457,4.43042,8.09397,-2.20499,6.19666,-3.91184,6.63287,4.63696,-1.92877,-3.15331,4.02143,9.66836,1.4031,9.79385,-2.45857,-1.80272,0.926276,5.06396,-0.645992,6.34844,2.4279,-4.9083,9.39873,8.45706,-2.31651,8.10872,-3.35302,-1.69235,4.23528,9.3366,1.37388,-3.92383,-4.81285,-1.13052,8.93395,-4.49016,2.82821,1.09981,-3.03157,0.62026,3.45849,0.543065,-2.92082,9.51133,-1.34443,-1.43327,0.396969,-3.53832,-0.0796088
gen=0_training=24,2.24731,1.84687,-0.846496,5.78177,0.295254,0.917909,2.34626,-1.36091,-2.96873,-4.29944,6.79454,7.14552,-1.0484,1.67775,2.16795,3.52259,1.52029,8.0672,0.724427,8.1769,6.60789,5.26562,-3.18559,3.58659,4.50381,9.98053,-4.48105,8.09823,3.28125,7.38421,7.218,7.41141,8.11666,6.66784,4.13897,2.2964,-3.36681,0.250378,3.27256,0.207781,2.01724,-1.06714,1.49528,3.46913,-3.80013,-3.13667,4.7231,3.46611,-0.703797,6.46531
gen=0_training=25,3.58799,7.16389,-3.70316,-0.1339,3.58496,-3.93406,1.62788,-3.85292,8.0795,-1.6537,0.625937,8.02464,9.82453,5.92495,7.13729,5.52378,-2.43177,-0.344884,-2.31931,-2.80026,-2.99898,-0.471695,3.0333,8.94476,-0.886176,0.468489,-1.92272,7.36011,7.11138,-0.93971,-3.16224,-2.20132,-1.74346,7.27892,7.93858,0.0395436,9.21594,4.22645,5.14122,-1.33532,-0.777828,5.78418,-2.28812,-0.12136,-1.89278,-2.34176,-2.79199,1.33818,8.64462,3.3389
gen=0_training=26,0.64254,-1.76456,5.98798,8.48886,-3.64982,4.59174,3.37917,-3.74214,5.03952,-4.93147,2.40994,4.83191,-1.34069,-2.41985,8.94065,-2.98632,-1.0453,-2.41927,3.04081,3.89099,6.4256,-4.6709,5.28648,0.182426,-1.07341,-3.69757,7.71431,-4.4349,4.37067,1.26098,6.34995,2.57686,2.40095,-0.465622,6.57158,1.56867,8.42359,-3.19482,-0.536199,5.04027,1.81398,0.328196,6.30951,5.74193,3.8234,1.64741,-0.359389,8.83086,2.12881,6.67948
gen=0_training=27,7.97849,9.81813,8.8776,5.10034,0.056939,-4.77348,2.97114,-2.93251,-4.88847,-2.87984,-1.58541,0.813616,3.91135,6.39715,-2.25778,2.56824,1.22827,5.39309,5.43969,4.70808,7.92877,-4.42595,0.18862,4.51852,3.39564,-2.20364,0.19354,7.21103,-3.93962,1.84747,-2.39682,2.40646,9.23454,-2.60198,1.16917,-4.08845,8.19789,5.75614,3.82261,6.87831,9.2927,2.80592,3.33332,6.8653,6.0883,0.426066,3.27318,-3.2225,1.80085,5.7888
gen=0_training=28,0.952273,9.47686,8.44938,7.60078,1.88771,9.76612,9.7905,-4.33086,-2.17831,2.07146,5.71973,2.37309,6.93076,-4.39918,-0.332011,-0.732546,9.14656,9.95463,1.6121,4.27267,3.91672,-4.74577,3.21432,8.20111,2.6447,9.41617,8.8407,1.90198,5.94937,0.897832,7.42827,-2.96147,2.25969,1.90747,5.28868,-3.34516,3.25913,-2.90052,-2.85732,9.88849,0.835773,0.751059,5.37701,4.4935,-2.44882,1.1485,8.52075,-4.37357,1.71309,-4.0193
gen=0_training=29,6.44242,-2.94814,5.68779,-1.19167,-4.24555,8.42556,4.56324,-1.18302,-0.0283731,-0.608992,2.16607,0.5022,-3.09612,0.61815,5.69698,-2.64218,9.44631,4.60386,8.30755,6.22863,7.48592,-2.90972,2.5677,-2.75307,0.0322899,4.22317,-1.38107,-2.75411,6.90513,-1.05536,0.778448,-3.32896,-3.35558,-3.96703,5.50336,6.39102,-0.161934,-4.45879,9.49919,7.17691,7.90497,9.59142,-0.811545,5.50696,-3.64085,-0.90608,0.312994,2.37472,0.718081,5.10366
gen=0_training=30,4.47073,5.90567,2.5388,2.81814,-1.54626,6.88772,-1.12644,6.46613,6.6365,-0.19412,-0.422809,1.99702,-2.72986,-3.08815,-3.48489,9.29768,5.18053,4.86615,-4.88165,7.49175,-4.1746,5.42095,2.29533,2.78401,-3.81922,3.79637,8.28752,-4.12144,-2.35039,-3.58692,-2.59103,5.38119,5.27947,-1.02317,8.33484,9.05875,7.71053,2.53156,-1.39379,-0.193361,6.91171,0.963624,-4.66147,6.73692,1.96681,5.55691,8.28758,4.88939,8.48477,-3.78847
gen=0_training=31,7.21214,1.73566,3.57778,7.54736,-1.17294,4.04596,5.58287,6.73418,9.21783,-2.71934,4.2977,1.62821,2.31322,4.25235,-2.4418,-2.17968,1.06393,-4.3523,-2.12287,2.15375,-1.56013,0.636993,-4.04156,3.23105,4.66686,-1.51745,0.580404,5.85463,-3.04786,-1.81468,5.93785,6.25928,0.494152,-1.18111,-2.73366,-1.2372,5.47621,9.73601,-4.53532,4.1921,-4.49303,-3.57297,-2.96141,-4.52961,9.00138,-1.07504,5.82567,2.09791,-1.12758,1.77313
gen=0_training=32,9.05745,-1.09154,0.918584,5.29383,9.61567,9.65514,3.49265,-4.75945,1.77146,-4.77683,-2.57707,4.68916,4.6153,3.61339,8.18391,-0.47677,2.99241,7.12773,-1.0908,7.21254,-4.43127,-3.53345,-3.25501,8.09154,6.08382,3.35271,6.65818,5.72194,0.0106788,0.376946,9.72693,3.94346,3.77402,8.22295,-1.44513,1.08952,9.92507,-4.15935,-2.06779,0.257383,9.11197,3.1638,8.91343,-1.15805,5.67058,9.73062,0.432253,-2.79031,-0.045179,-0.3386
gen=0_training=33,-0.8083,9.09765,0.393875,4.92188,8.76199,-0.355439,-0.416292,-0.0947839,-3.0953,0.217565,3.67832,-2.33294,-4.57928,-3.59186,-3.0455,-0.0281078,6.95748,4.10333,0.512104,4.0105,1.59975,0.943054,7.03313,3.82169,5.77677,-1.29295,0.976449,9.48222,-4.56912,-3.39529,-4.0498,9.72613,-1.043,8.18729,3.10964,-1.36882,3.17985,-3.56946,9.9218,1.45971,5.15577,-0.352704,7.03287,1.61269,7.6111,6.98427,6.65412,5.39741,5.98475,9.19048
gen=0_training=34,9.8507,-0.667849,6.64277,7.15046,-2.90119,1.1399,-1.81016,4.84651,5.40098,7.5313,0.00420569,-4.57821,-0.613101,-0.460538,3.27169,8.78922,-1.56459,-4.76165,7.20952,2.28427,8.08444,-1.32721,1.54261,7.27253,2.19126,9.8411,-1.73068,3.25691,8.30172,9.57036,5.14692,0.752194,2.9619,7.31085,2.16303,-3.72682,-4.09052,-0.00381988,7.8198,-2.16826,4.67372,8.94191,1.11899,7.58336,-2.83574,6.66339,3.86909,3.22593,9.99544,2.68508
gen=0_training=35,-0.721723,2.56382,7.39581,6.46521,1.98695,5.29217,-2.35218,1.89706,1.22925,4.70817,8.34746,4.53142,-4.3387,-2.88829,4.47814,-0.940723,5.54341,2.84211,7.79135,2.38783,8.33893,3.92697,2.43441,5.02417,9.86584,5.7405,2.32278,-4.84342,-4.88504,5.63665,6.6299,6.75631,5.9874,-1.77553,-4.84408,0.812066,-2.23867,3.4402,5.01529,9.16144,-1.45741,8.34549,9.49441,-0.91668,2.57969,-2.60614,-3.42786,-0.79424,3.11583,-1.6596
gen=0_training=36,-3.38124,7.11205,6.99855,6.80728,6.63628,8.91918,2.0897,5.59568,3.01066,9.63084,-3.74047,6.75881,2.60015,0.97311,5.80419,-4.10836,8.88396,9.24454,0.962786,-3.36215,-4.83805,2.55436,-1.01287,-1.0896,8.65627,-4.38747,-4.30255,8.6944,7.80479,-2.56685,9.53406,-4.17013,-2.67808,3.81326,0.62706,-4.88964,7.92531,2.99119,7.99365,9.33905,8.80699,8.15706,6.17628,-2.07,0.070841,-2.53749,-4.55305,0.844566,-0.811231,4.55965
gen=0_training=37,-1.85321,2.20001,3.40245,3.41741,-4.91576,-1.0436,4.07869,1.64549,3.57271,8.23263,9.91726,5.91873,7.70699,3.20865,9.10263,-2.36988,8.95692,1.77022,9.80798,1.5862,7.05163,3.08293,2.89844,-0.861026,-3.79971,2.5334,3.06417,-2.49108,4.1199,3.00405,2.12396,7.952,5.50275,3.57544,-1.65057,4.26029,8.32168,5.41756,3.09924,-0.823358,4.86448,3.71445,8.26258,-4.89309,-2.72251,2.6416,-1.03741,4.41725,6.69346,3.41321
gen=0_training=38,6.21089,4.25674,5.51021,9.78892,3.45933,0.474537,0.557661,7.04004,-3.58531,9.39267,8.15252,3.78881,1.36217,7.25832,6.40659,2.3639,2.50682,2.02745,-0.192788,8.33744,0.388934,0.17663,7.69709,-4.22564,-3.18707,-3.01687,0.782404,-1.98636,5.62441,4.39549,4.87283,0.02056,-3.57229,9.69154,-4.27336,5.38944,8.76401,9.93799,2.32084,2.60547,6.55142,3.01434,9.39583,4.73895,-2.49216,0.967288,5.0408,0.686799,-0.486259,6.36138
gen=0_training=39,5.7203,-4.15876,4.78491,7.99958,-3.20625,2.90875,8.73289,9.10267,-4.07451,-3.67324,2.69195,-2.62871,-3.60237,9.71474,2.73189,5.43093,-1.40433,2.40476,-4.06273,1.35045,-0.924558,9.73225,-4.27364,8.58569,3.1801,7.60066,-2.04506,2.64138,4.68044,3.79199,4.41681,8.26752,0.825711,8.49855,7.17127,3.64747,1.53732,2.37726,1.38422,-1.61337,-4.63537,-2.90396,-3.73587,-2.37479,4.5962,8.5979,4.20908,-1.99335,0.346148,-4.23775
gen=0_training=40,-1.43292,7.93137,9.01361,-2.99583,-1.91941,-3.46196,-1.47744,3.38631,-0.885465,8.86097,-2.20316,3.13677,0.0751264,-1.77062,7.31617,3.97204,5.04481,7.78003,3.18491,9.10211,5.2379,-1.85401,6.93755,-1.72106,-4.73706,6.98531,7.4398,7.8798,5.32185,-2.04606,7.7121,0.468401,-3.32605,1.43757,9.74755,6.82552,-0.976798,0.719389,1.19696,-1.03587,-3.09933,-1.15088,-2.30981,7.23086,-4.25912,8.93818,-0.89258,0.444252,5.16665,-2.06971
gen=0_training=41,-4.15312,1.9487,6.25181,-4.45415,6.90467,8.55886,9.34462,4.73956,-1.50312,-3.58154,-0.103614,9.85944,7.89728,-4.71259,-1.57627,-4.48184,3.2652,9.69342,1.2836,-3.13083,5.00825,-2.29295,8.54611,8.72979,-2.06287,1.8462,-1.51118,4.35204,-1.39552,5.36697,5.26433,5.74008,-0.749496,-3.80822,1.74767,1.88783,7.26657,4.97779,-0.696054,3.70316,-3.40468,6.07996,0.872826,5.85005,6.27069,2.31658,3.78276,2.60679,-2.95728,6.98965
gen=0_training=42,-1.63078,9.20552,1.23636,6.27765,-3.08055,-3.99594,-2.79087,-2.89087,9.09556,3.57699,9.095,5.17727,7.53421,4.66336,-0.359298,6.74563,2.38028,-4.22695,1.46867,-0.825886,2.94557,6.82385,4.07225,-0.443336,9.65954,8.59506,9.88293,-0.370308,3.7749,5.73971,2.7624,2.89969,0.308785,-1.49427,6.40814,2.92894,4.61919,6.35436,-2.39846,6.07979,-2.258,-1.51456,2.85433,-0.200458,-0.685752,9.63295,-1.18402,-1.06391,-3.06322,2.12161
gen=0_training=43,0.342645,0.918402,3.98939,8.89496,7.4162,5.91119,-2.95599,8.2705,-2.64992,4.45855,3.98709,-3.3041,9.14776,7.96368,1.65378,4.0748,6.32359,-0.806156,4.7712,-1.85349,3.52331,-0.968573,9.14946,9.12392,2.32501,4.65553,5.06558,2.88516,2.74601,2.66622,0.351877,5.94752,6.10183,6.43305,9.28026,0.384935,2.98777,5.94431,5.45421,7.55765,7.60335,6.91369,5.92337,-2.81793,8.4634,3.21992,2.70797,8.77077,4.90444,7.81099
gen=0_training=44,3.88666,6.42474,-3.6447,-0.362781,2.83008,5.5366,-0.903406,-0.818503,0.890002,2.83918,-0.573145,-4.92682,6.61958,-1.44289,-3.16067,5.14912,7.43234,-1.23773,6.22138,-0.163613,3.77933,0.83448,5.68186,-1.57,3.75596,3.06661,-3.00433,3.06109,6.3832,-4.61311,-1.62799,3.24091,3.87102,2.27213,2.62232,4.79006,8.86879,8.89676,4.49504,1.12507,9.58942,0.107712,9.16892,-4.17684,-3.04703,3.26453,0.0836252,9.19997,7.32924,7.57029
gen=0_training=45,-3.11479,-4.82435,0.828658,9.90318,-2.4844,7.29895,1.49175,-1.9999,4.7895,8.73115,-0.347765,-4.27704,9.48538,8.09297,7.21295,3.64259,2.27314,3.63124,5.22868,-4.83369,2.26426,8.01469,-2.89764,9.63849,-3.46645,4.31633,7.96316,-0.790078,0.480052,-0.385561,1.71345,8.65192,-4.96052,2.89496,9.41753,4.52666,2.27156,8.50189,-2.57006,6.14206,-1.71286,-2.12316,4.6649,0.176992,1.06269,-4.55339,9.90938,5.94948,3.7328,-1.44576
gen=0_training=46,1.40464,5.45123,-4.58003,-4.31775,2.58266,-1.17187,-0.244258,3.21933,7.07685,1.4952,-4.36391,8.74634,7.18372,-0.983982,-3.26062,0.563842,-3.55392,-2.926,2.77633,0.0498857,-2.37748,-2.3486,5.05388,-4.6813,-1.51381,6.09482,7.83207,6.73599,0.951983,-4.11132,3.29008,9.04985,3.38538,7.96625,7.86885,-3.4341,-1.47208,-3.3319,8.06061,3.21941,9.48629,4.20657,3.22231,-1.43602,1.36182,6.12913,6.33617,5.34084,0.535236,8.50711
gen=0_training=47,2.58553,3.36831,-1.48121,-3.60505,4.55295,-4.45678,-1.36158,8.10256,-3.94412,7.26271,-3.92465,1.88429,3.40439,6.43688,3.82305,8.8978,8.32719,-4.03333,1.10061,5.21503,1.72021,-4.37443,-1.18634,1.15501,3.63436,2.68656,1.48728,6.39689,2.19576,2.06068,-1.35918,3.49044,2.17814,3.10252,3.49113,-0.303145,1.86256,9.19444,3.55545,-2.34025,2.36706,-3.70977,0.759715,3.02507,8.24495,4.36186,-0.683375,3.66414,5.9152,-2.50845
gen=0_training=48,3.76995,6.01947,4.2918,-1.89637,9.89512,3.93673,2.70969,-2.4416,-2.81865,4.86646,9.24621,6.20363,-4.17224,3.00171,9.58991,2.7808,9.61803,6.14854,1.92433,3.4149,-1.43566,1.48587,1.29909,-4.88689,1.64864,-3.15939,-2.64821,6.40193,5.67635,7.10535,-3.61251,-3.06923,-0.307793,0.691813,-2.39588,5.5644,-0.663121,7.37593,5.86695,7.30476,-3.24396,-1.93879,3.75328,-2.29597,6.58365,3.43558,5.66663,6.39606,8.24768,9.54502
